Pos,Name,Ct_SYBR,Rep,RT,Target
A2,Ubi4_RT+_B8,18.79,1,1,Ubi4
A3,Ubi4_RT+_F1,18.81,1,1,Ubi4
A4,Ubi4_RT+_K2,18.47,1,1,Ubi4
A5,Ubi4_RT+_B8,18.12,2,1,Ubi4
A7,Ubi4_RT+_F1,18.25,2,1,Ubi4
A8,Ubi4_RT+_K2,18.09,2,1,Ubi4
A10,Ubi4_RT-_B8,29.23,1,0,Ubi4
A11,Ubi4_RT-_F1,30.45,1,0,Ubi4
A12,Ubi4_RT-_K2,30.76,1,0,Ubi4
B1,Ubi4_RT+_B1,18.80,1,1,Ubi4
B2,Ubi4_RT+_E2,17.80,1,1,Ubi4
B3,Ubi4_RT+_F2,21.82,1,1,Ubi4
B4,Ubi4_RT+_K3,17.54,1,1,Ubi4
B5,Ubi4_RT+_B1,17.99,2,1,Ubi4
B6,Ubi4_RT+_E2,17.67,2,1,Ubi4
B7,Ubi4_RT+_F2,22.19,2,1,Ubi4
B8,Ubi4_RT+_K3,17.65,2,1,Ubi4
B9,Ubi4_RT-_B1,30.29,1,0,Ubi4
B10,Ubi4_RT-_E2,29.67,1,0,Ubi4
B11,Ubi4_RT-_F2,30.34,1,0,Ubi4
B12,Ubi4_RT-_K3,29.88,1,0,Ubi4
C1,Ubi4_RT+_B2,19.89,1,1,Ubi4
C2,Ubi4_RT+_E1,17.09,1,1,Ubi4
C3,Ubi4_RT+_F3,19.01,1,1,Ubi4
C4,Ubi4_RT+_K4,18.49,1,1,Ubi4
C5,Ubi4_RT+_B2,19.64,2,1,Ubi4
C6,Ubi4_RT+_E1,16.38,2,1,Ubi4
C7,Ubi4_RT+_F3,18.82,2,1,Ubi4
C8,Ubi4_RT+_K4,18.29,2,1,Ubi4
C9,Ubi4_RT-_B2,29.70,1,0,Ubi4
C10,Ubi4_RT-_E1,29.46,1,0,Ubi4
C11,Ubi4_RT-_F3,29.45,1,0,Ubi4
C12,Ubi4_RT-_K4,30.76,1,0,Ubi4
D1,Ubi4_RT+_B3,17.21,1,1,Ubi4
D2,Ubi4_RT+_E3,17.17,1,1,Ubi4
D3,Ubi4_RT+_F4,21.10,1,1,Ubi4
D4,Ubi4_RT+_K5,16.76,1,1,Ubi4
D5,Ubi4_RT+_B3,16.71,2,1,Ubi4
D6,Ubi4_RT+_E3,16.67,2,1,Ubi4
D7,Ubi4_RT+_F4,21.24,2,1,Ubi4
D8,Ubi4_RT+_K5,16.69,2,1,Ubi4
D9,Ubi4_RT-_B3,28.43,1,0,Ubi4
D10,Ubi4_RT-_E3,30.32,1,0,Ubi4
D11,Ubi4_RT-_F4,29.24,1,0,Ubi4
D12,Ubi4_RT-_K5,31.84,1,0,Ubi4
E1,Ubi4_RT+_B4,19.69,1,1,Ubi4
E2,Ubi4_RT+_E4,17.44,1,1,Ubi4
E3,Ubi4_RT+_F5,18.38,1,1,Ubi4
E4,Ubi4_RT+_K6,17.31,1,1,Ubi4
E5,Ubi4_RT+_B4,18.91,2,1,Ubi4
E6,Ubi4_RT+_E4,17.26,2,1,Ubi4
E7,Ubi4_RT+_F5,18.13,2,1,Ubi4
E8,Ubi4_RT+_K6,16.99,2,1,Ubi4
E9,Ubi4_RT-_B4,29.22,1,0,Ubi4
E10,Ubi4_RT-_E4,29.97,1,0,Ubi4
E11,Ubi4_RT-_F5,29.50,1,0,Ubi4
E12,Ubi4_RT-_K6,30.48,1,0,Ubi4
F1,Ubi4_RT+_B5,19.12,1,1,Ubi4
F2,Ubi4_RT+_E5,18.18,1,1,Ubi4
F3,Ubi4_RT+_F6,22.52,1,1,Ubi4
F4,Ubi4_RT+_K7,17.99,1,1,Ubi4
F5,Ubi4_RT+_B5,18.07,2,1,Ubi4
F6,Ubi4_RT+_E5,17.43,2,1,Ubi4
F7,Ubi4_RT+_F6,22.48,2,1,Ubi4
F8,Ubi4_RT+_K7,17.98,2,1,Ubi4
F9,Ubi4_RT-_B5,29.76,1,0,Ubi4
F10,Ubi4_RT-_E5,29.11,1,0,Ubi4
F11,Ubi4_RT-_F6,29.82,1,0,Ubi4
F12,Ubi4_RT-_K7,32.35,1,0,Ubi4
G1,Ubi4_RT+_B6,19.59,1,1,Ubi4
G2,Ubi4_RT+_E6,19.95,1,1,Ubi4
G3,Ubi4_RT+_F8,18.86,1,1,Ubi4
G4,Ubi4_RT+_K8,18.30,1,1,Ubi4
G5,Ubi4_RT+_B6,19.41,2,1,Ubi4
G6,Ubi4_RT+_E6,18.83,2,1,Ubi4
G8,Ubi4_RT+_K8,18.13,2,1,Ubi4
G9,Ubi4_RT-_B6,31.36,1,0,Ubi4
G10,Ubi4_RT-_E6,27.33,1,0,Ubi4
G11,Ubi4_RT-_F8,29.21,1,0,Ubi4
G12,Ubi4_RT-_K8,30.71,1,0,Ubi4
H1,Ubi4_RT+_B7,19.14,1,1,Ubi4
H2,Ubi4_RT+_E7,17.60,1,1,Ubi4
