 ,Label,Area,Mean,Circ.,AR,Round,Solidity
1,pre_skel_Brachy_roots_12-10_D2_031.tif,35796900,4.652,0.766,1.376,0.727,1.000
2,post_skel_Brachy_roots_12-10_D2_031.tif,35796900,0.927,0.766,1.376,0.727,1.000
3,pre_skel_Brachy_roots_12-10_D3_032.tif,35796900,1.678,0.766,1.376,0.727,1.000
4,post_skel_Brachy_roots_12-10_D3_032.tif,35796900,0.347,0.766,1.376,0.727,1.000
5,pre_skel_Brachy_roots_12-10_D4_033.tif,35796900,1.512,0.766,1.376,0.727,1.000
6,post_skel_Brachy_roots_12-10_D4_033.tif,35796900,0.337,0.766,1.376,0.727,1.000
7,pre_skel_Brachy_roots_12-10_D5_034.tif,35796900,5.497,0.766,1.376,0.727,1.000
8,post_skel_Brachy_roots_12-10_D5_034.tif,35796900,0.989,0.766,1.376,0.727,1.000
9,Brachy_roots_12-10_D6_003.jpg,12814200,4.401,0.766,1.377,0.726,1.000
10,Brachy_roots_12-10_D6_003.jpg,12814200,0.979,0.766,1.377,0.726,1.000
11,pre_skel_Brachy_roots_12-10_D7_035.tif,35796900,2.425,0.766,1.376,0.727,1.000
12,post_skel_Brachy_roots_12-10_D7_035.tif,35796900,0.487,0.766,1.376,0.727,1.000
13,pre_skel_Brachy_roots_12-10_D8_036.tif,35796900,5.600,0.766,1.376,0.727,1.000
14,post_skel_Brachy_roots_12-10_D8_036.tif,35796900,1.085,0.766,1.376,0.727,1.000
